label,delta_encL,delta_encR,heading,cmdL,cmdR
forward,-34,-35,350.8125,15,21
forward,-34,-35,350.8125,15,21
forward,-34,-35,350.8125,15,21
forward,-37,-37,350.8125,15,21
forward,-35,-35,350.8125,15,21
forward,-34,-34,350.75,15,21
forward,-34,-34,350.75,15,21
forward,-33,-35,350.8125,15,21
forward,-34,-35,350.75,15,21
forward,-33,-35,350.8125,15,21
forward,-33,-35,350.75,15,21
forward,-35,-36,350.8125,15,21
forward,-34,-34,350.75,15,21
forward,-34,-34,350.8125,15,21
forward,-33,-34,350.75,15,21
forward,-34,-34,350.875,15,21
forward,-33,-34,350.875,15,21
forward,-34,-36,350.9375,15,21
forward,-35,-35,351,15,21
forward,-34,-35,351.0625,15,21
forward,-33,-34,351.125,15,21
forward,-33,-35,351.25,15,21
forward,-32,-35,351.25,15,20
forward,-33,-34,351.375,15,20
forward,-33,-34,351.4375,15,20
forward,-33,-32,351.375,15,19
forward,-34,-33,351.375,15,19
forward,-32,-32,351.375,15,19
forward,-32,-33,351.4375,15,18
forward,-32,-31,351.4375,15,18
forward,-32,-31,351.375,15,18
forward,-34,-33,351.375,15,17
forward,-32,-29,351.3125,15,17
forward,-31,-31,351.25,15,17
forward,-31,-30,351.25,15,16
forward,-31,-29,351.25,15,16
forward,-31,-28,351.1875,15,16
forward,-30,-28,351.125,15,15
forward,-29,-27,351.0625,15,15
forward,-29,-29,351.0625,15,15
forward,-30,-26,351,15,15
forward,-30,-28,350.9375,15,15
forward,-30,-29,350.875,15,15
forward,-30,-26,350.75,15,15
forward,-29,-28,350.75,15,15
forward,-30,-26,350.625,15,15
forward,-30,-27,350.5625,15,15
forward,-29,-27,350.5,15,15
forward,-29,-26,350.4375,15,16
forward,-29,-28,350.375,15,16
forward,-28,-28,350.375,15,16
forward,-30,-28,350.3125,15,17
forward,-30,-30,350.3125,15,17
forward,-30,-29,350.25,15,17
forward,-31,-29,350.1875,15,17
forward,-31,-28,350.125,15,18
forward,-30,-30,350.125,15,18
forward,-30,-30,350.125,15,18
forward,-32,-32,350.125,15,19
forward,-32,-32,350.125,15,19
forward,-31,-32,350.125,15,19
forward,-31,-34,350.25,15,19
forward,-32,-33,350.3125,15,20
forward,-32,-33,350.4375,15,20
forward,-31,-32,350.5,15,20
forward,-32,-34,350.5625,15,20
forward,-31,-33,350.5625,15,20
forward,-32,-33,350.5625,15,20
forward,-33,-34,350.5625,15,20
forward,-33,-33,350.5625,15,20
forward,-32,-33,350.6875,15,20
forward,-32,-33,350.6875,15,20
forward,-32,-33,350.75,15,20
forward,-33,-32,350.6875,15,20
forward,-33,-32,350.6875,15,20
forward,-31,-32,350.625,15,20
forward,-32,-34,350.6875,15,20
forward,-32,-33,350.6875,15,20
forward,-33,-34,350.625,15,20
forward,-32,-33,350.6875,15,20
forward,-33,-32,350.625,15,20
forward,-33,-34,350.6875,15,20
forward,-34,-32,350.625,15,20
forward,-32,-35,350.6875,15,20
forward,-34,-33,350.625,15,20
forward,-35,-33,350.625,15,20
forward,-33,-32,350.5625,15,20
forward,-33,-34,350.5,15,21
forward,-32,-34,350.5625,15,21
forward,-33,-33,350.5625,15,21
forward,-33,-38,350.625,15,21
forward,-33,-35,350.5625,15,21
forward,-34,-36,350.625,15,21
forward,-35,-30,350.5625,15,21
forward,-34,-37,350.5625,15,21
forward,-33,-32,350.5,15,22
forward,-34,-34,350.625,15,22
forward,-33,-34,350.625,15,22
forward,-33,-36,350.6875,15,22
