time,label,delta_encL,delta_encR,heading,cmdL,cmdR
1763695889.443151,forward,-32,-28,312.1875,15,17
1763695889.4932616,forward,-30,-29,312.25,15,17
1763695889.543373,forward,-30,-28,312.1875,15,17
1763695889.5934834,forward,-29,-29,312.125,15,17
1763695889.6435935,forward,-30,-29,312.125,15,17
1763695889.6937056,forward,-30,-30,312.125,15,17
1763695889.7438178,forward,-30,-30,312.125,15,17
1763695889.793929,forward,-31,-30,312.125,15,17
1763695889.8440409,forward,-30,-30,312.0625,15,17
1763695889.8941557,forward,-31,-29,312.0625,15,17
1763695889.944267,forward,-31,-31,312.0,15,17
1763695889.9943786,forward,-31,-28,311.9375,15,17
1763695890.0444908,forward,-31,-30,311.875,15,17
1763695890.0946038,forward,-31,-28,311.75,15,17
1763695890.1447165,forward,-31,-29,311.75,15,17
1763695890.1948292,forward,-31,-29,311.6875,15,17
1763695890.2449427,forward,-30,-28,311.625,15,17
1763695890.2950566,forward,-33,-33,311.5625,15,18
1763695890.3451688,forward,-30,-29,311.5,15,18
1763695890.3952801,forward,-31,-30,311.5,15,18
1763695890.4453907,forward,-31,-32,311.375,15,19
1763695890.4955013,forward,-32,-30,311.3125,15,19
1763695890.5456123,forward,-31,-33,311.3125,15,19
1763695890.5957246,forward,-31,-32,311.25,15,20
1763695890.6458375,forward,-32,-34,311.3125,15,20
1763695890.6959493,forward,-32,-32,311.3125,15,20
1763695890.746063,forward,-32,-33,311.375,15,21
1763695890.79618,forward,-34,-34,311.375,15,21
1763695890.8462965,forward,-32,-34,311.4375,15,21
1763695890.8964114,forward,-33,-34,311.5,15,21
1763695890.9465294,forward,-32,-34,311.625,15,22
1763695890.996645,forward,-32,-35,311.75,15,22
1763695891.04676,forward,-33,-36,311.75,15,22
1763695891.0968754,forward,-33,-35,311.9375,15,22
1763695891.146992,forward,-35,-36,311.875,15,22
1763695891.1971085,forward,-33,-35,311.9375,15,22
1763695891.2472248,forward,-34,-35,311.9375,15,22
1763695891.2973413,forward,-33,-36,312.0625,15,22
1763695891.3474534,forward,-34,-36,312.0625,15,22
1763695891.3975677,forward,-32,-36,312.1875,15,22
1763695891.4476905,forward,-34,-34,312.125,15,22
1763695891.497814,forward,-34,-35,312.125,15,22
1763695891.5479295,forward,-33,-34,312.0625,15,22
1763695891.5980453,forward,-33,-35,312.125,15,22
1763695891.6481626,forward,-34,-36,312.125,15,22
1763695891.6982815,forward,-33,-36,312.1875,15,22
1763695891.7483985,forward,-34,-36,312.25,15,22
1763695891.7985172,forward,-34,-36,312.25,15,22
1763695891.8486328,forward,-32,-35,312.25,15,22
1763695891.8987477,forward,-34,-36,312.3125,15,22
1763695891.9488633,forward,-34,-36,312.3125,15,22
1763695891.9989789,forward,-34,-35,312.3125,15,22
1763695892.0490956,forward,-36,-38,312.3125,15,21
1763695892.0992112,forward,-34,-34,312.25,15,21
1763695892.1493278,forward,-34,-34,312.3125,15,21
1763695892.1994433,forward,-34,-34,312.25,15,21
1763695892.2495584,forward,-33,-35,312.3125,15,20
1763695892.2996714,forward,-33,-33,312.3125,15,20
1763695892.349782,forward,-33,-31,312.1875,15,20
1763695892.3998933,forward,-33,-34,312.1875,15,20
1763695892.4500053,forward,-34,-33,312.1875,15,20
1763695892.5001159,forward,-33,-36,312.125,15,20
1763695892.5502245,forward,-32,-32,312.125,15,20
1763695892.6003356,forward,-33,-33,312.125,15,20
1763695892.6504471,forward,-32,-33,312.125,15,20
1763695892.7005587,forward,-34,-34,312.125,15,20
1763695892.7506692,forward,-33,-32,312.1875,15,20
1763695892.8007815,forward,-33,-34,312.1875,15,20
1763695892.8509092,forward,-32,-33,312.3125,15,20
1763695892.901024,forward,-32,-33,312.375,15,20
1763695892.951138,forward,-32,-33,312.4375,15,19
1763695893.0012498,forward,-32,-33,312.5,15,19
1763695893.0513632,forward,-32,-32,312.5,15,19
1763695893.1014764,forward,-33,-32,312.5,15,19
1763695893.1515899,forward,-32,-32,312.5,15,18
1763695893.2017024,forward,-33,-33,312.4375,15,18
1763695893.251815,forward,-31,-32,312.5,15,18
1763695893.3019269,forward,-32,-31,312.5,15,18
1763695893.3520381,forward,-31,-30,312.5,15,17
1763695893.4021494,forward,-31,-29,312.375,15,17
1763695893.4522603,forward,-31,-29,312.3125,15,17
1763695893.502372,forward,-31,-29,312.25,15,17
1763695893.5524836,forward,-31,-29,312.25,15,17
1763695893.6025975,forward,-30,-30,312.25,15,17
1763695893.6527083,forward,-30,-30,312.25,15,17
1763695893.7028205,forward,-31,-30,312.25,15,17
1763695893.752931,forward,-31,-30,312.1875,15,17
1763695893.8030438,forward,-30,-29,312.1875,15,17
1763695893.8531563,forward,-33,-32,312.125,15,17
1763695893.9032683,forward,-31,-30,312.125,15,17
1763695893.9533803,forward,-31,-31,312.125,15,17
1763695894.0034935,forward,-31,-29,312.0,15,17
1763695894.0536056,forward,-31,-30,312.0,15,17
1763695894.1037161,forward,-31,-27,311.875,15,17
1763695894.1538277,forward,-31,-30,311.8125,15,17
1763695894.203939,forward,-31,-30,311.875,15,17
1763695894.2540507,forward,-31,-28,311.75,15,17
1763695894.3041618,forward,-31,-32,311.8125,15,17
1763695894.3542736,forward,-30,-29,311.6875,15,18
1763695894.404385,forward,-31,-30,311.625,15,18
1763695894.4544947,forward,-31,-30,311.5625,15,18
1763695894.5046074,forward,-32,-31,311.5,15,19
1763695894.5547204,forward,-31,-33,311.4375,15,19
1763695894.6048336,forward,-31,-32,311.4375,15,19
1763695894.6549442,forward,-32,-32,311.4375,15,19
1763695894.7050567,forward,-32,-32,311.4375,15,20
1763695894.75517,forward,-32,-32,311.4375,15,20
1763695894.805284,forward,-33,-33,311.5,15,20
1763695894.8553956,forward,-33,-34,311.5,15,21
1763695894.9055097,forward,-32,-34,311.625,15,21
1763695894.955622,forward,-31,-35,311.75,15,21
1763695895.005733,forward,-33,-33,311.8125,15,21
1763695895.0558453,forward,-32,-36,311.9375,15,21
1763695895.1059568,forward,-33,-34,311.9375,15,21
1763695895.1560688,forward,-33,-35,312.0,15,21
1763695895.2061803,forward,-33,-34,312.0,15,21
1763695895.2562912,forward,-34,-34,312.0,15,21
1763695895.3064039,forward,-33,-35,312.0625,15,21
1763695895.3565152,forward,-33,-35,312.125,15,21
1763695895.406626,forward,-33,-35,312.1875,15,21
1763695895.456737,forward,-33,-32,312.0625,15,21
1763695895.5068495,forward,-34,-34,312.125,15,21
1763695895.5569623,forward,-32,-32,312.0,15,21
